id,domain,mechanism,definition,formula,integration,validation
M258,Scene and assets,Stable asset identity,"Asset identity is a stable schema identifier separate from node identity, coordinates and lineage.","asset=(asset_id, content_hash, schema_hash, payload)",Allows one immutable asset to be instanced by many scene nodes.,Implemented + tested
M259,Scene and assets,Content-addressed asset hash,Canonical mesh/material/source metadata are hashed so derived geometry can be cached and compared.,h_asset=SHA256(canonical(asset_payload)),Cache key and integrity check; not a legal or cryptographic identity claim.,Implemented + tested
M260,Scene and assets,Scene-node transform hierarchy,Nodes form an explicit parent-child transform graph with local and world transforms.,T_world(n)=T_world(parent(n))*T_local(n),Supports conventional scene composition while UGTS events remain authoritative for changes.,Implemented + tested
M261,Scene and assets,Hierarchy cycle rejection,Parent edits are accepted only when the scene graph remains acyclic.,parent walk must not revisit a node,Prevents undefined world transforms and recursive editor corruption.,Implemented + tested
M262,Scene and assets,Asset-instance separation,"Mesh/material assets are immutable payloads; nodes carry transform, visibility, tags and lineage.","instance=(node_id, asset_id, local_transform, tags, lineage)",Allows reuse and streaming without treating render meshes as identity.,Implemented + tested
M263,Scene and assets,Layered scene opinions,Ordered layers may override declared node fields without destructively rewriting the base scene.,"composed(n)=fold_layers(base(n), opinions(n))",Reference form of non-destructive authoring and variant overrides.,Implemented + tested
M264,Scene and assets,Coordinate-system declaration,"Every scene declares up axis, handedness and working coordinate convention.","coordinate_contract=(up_axis, handedness, units_per_meter)","Prevents silent axis flips across engine, glTF, USD and XR adapters.",Implemented + tested
M265,Scene and assets,Unit and time-base declaration,"Linear scale, time unit and working color space are schema fields.","metadata=(units_per_meter,time_unit,working_color_space)",Separates authored values from implicit engine defaults.,Implemented + tested
M266,Scene and assets,Streaming-region membership,World bounds map deterministically to one or more spatial cells.,cell(p)=floor(p/cell_size),Supplies world partition and asynchronous loading keys.,Implemented + tested
M267,Scene and assets,Schema migration record,Version changes append an explicit from/to migration entry and description.,"migration=(from_version,to_version,operation)",Makes save-game and asset upgrades inspectable and replay-safe.,Implemented + tested
M268,Geometry compilation,Adaptive cubic-curve tessellation,Cubic Bezier segments subdivide until a declared flatness tolerance or depth limit is reached.,"flatness=max(dist(P1,line P0P3),dist(P2,line P0P3)) <= epsilon",Produces render/collision polylines from authoritative curves.,Implemented + tested
M269,Geometry compilation,Dual simulation and presentation error contract,"Derived geometry records independent world, collision, screen-space and normal error budgets.","error=(e_world,e_collision,e_pixels,e_normal,topology_status)",Prevents visually acceptable meshes from silently redefining event geometry.,Implemented + tested
M270,Geometry compilation,Even-odd and nonzero fill rules,Closed 2D paths use an explicitly selected winding rule for interior classification.,inside_evenodd = crossing_count mod 2; inside_nonzero = winding != 0,"Supports vector fills, guards and hit regions without ambiguous self-intersections.",Implemented + tested
M271,Geometry compilation,Stroke expansion,An open polyline is compiled to a ribbon mesh with explicit width and join policy.,v_i^+/- = p_i +/- (width/2)*n_i,Reference path-to-triangle conversion for editor and runtime previews.,Implemented + tested
M272,Geometry compilation,Swept tube mesh,A profile ring is swept along a sampled 3D path to form a triangle mesh.,v_ij=p_i+r(cos(theta_j)N_i+sin(theta_j)B_i),Makes 2.0 curve families renderable and exportable.,Implemented + tested
M273,Geometry compilation,Parallel-transport sweep frames,Rotation-minimizing tangent/normal/binormal frames orient profiles across low-curvature sections.,"N_i=normalize(N_(i-1)-T_i dot(N_(i-1),T_i)); B_i=T_i x N_i",Avoids Frenet flips at near-zero curvature.,Implemented + tested
M274,Geometry compilation,Implicit-field grid sampling,A bounded 3D lattice samples a declared scalar field and iso value.,"s_ijk=f(x_i,y_j,z_k)-iso",Input stage for deterministic field-to-mesh compilation.,Implemented + tested
M275,Geometry compilation,Marching-tetrahedra meshing,Each voxel cube is decomposed into tetrahedra and crossing edges are triangulated.,"p_cross=lerp(p_a,p_b,(iso-f_a)/(f_b-f_a))",Reference isosurface compiler with bounded resolution and no hidden raymarch loop.,Implemented + tested
M276,Geometry compilation,Field-gradient normal generation,Analytic gradients are preferred; finite differences supply a bounded fallback.,n=normalize(grad f); grad_x approx (f(x+h)-f(x-h))/(2h),Supplies lighting orientation and diagnostic residuals.,Implemented + tested
M277,Geometry compilation,Sweep UV generation,Tube vertices receive angular and cumulative-length coordinates.,u=j/sides; v=arc_length_i/total_length,Provides stable procedural material coordinates.,Implemented + tested
M278,Geometry compilation,Collision proxy generation,A derived axis-aligned proxy mesh is emitted from authoritative bounds.,proxy=AABB(mesh),Allows inexpensive broad-phase and fallback collision.,Implemented + tested
M279,Geometry compilation,Reference mesh LOD hierarchy,Triangle subsets form deterministic lower-detail previews with explicit topology-preservation status.,N_lod=round(ratio*N_triangles),Reference only; production simplification must preserve application error contracts.,Implemented + tested (reference)
M280,Spatial and streaming,Axis-aligned bounding box contract,Each renderable or support volume may expose finite minimum/maximum bounds.,"AABB=[xmin,xmax]x[ymin,ymax]x[zmin,zmax]","Common currency for culling, broad phase and streaming.",Implemented + tested
M281,Spatial and streaming,Oriented-bound proxy contract,An optional local frame and half-extents describe tighter oriented bounds.,"OBB=(center,axes,half_extents)",Specified for production adapters; reference runtime falls back to AABB.,Specified; not implemented
M282,Spatial and streaming,Deterministic BVH construction,A median split along the longest axis builds an inspectable hierarchy.,axis=argmax(extent); split=median(center_axis),Conventional acceleration complements UGTS support predicates.,Implemented + tested
M283,Spatial and streaming,Support-aware broad phase,BVH overlap results pass through local-support predicates before exact relation work.,candidates=BVH(query) intersect support_ok,Preserves the canonical support -> compatibility -> guard order.,Implemented + tested
M284,Spatial and streaming,Frustum visibility query,AABB positive vertices are tested against declared view planes.,"visible iff dot(n,p_positive)+d >= 0 for all planes",Downstream view selection only; visibility does not change identity.,Implemented + tested
M285,Spatial and streaming,Ray and picking query,Slab intervals return ordered AABB ray candidates.,t_axis=(bound-origin)/direction; intersect intervals,Editor picking and coarse interaction support.,Implemented + tested
M286,Spatial and streaming,World streaming cells,Object bounds enumerate every intersected regular-grid cell.,"cells(AABB)=Cartesian range(floor(min/s),floor(max/s))",Reference partition key for load/unload policies.,Implemented + tested
M287,Spatial and streaming,Per-user interest set,Spatial overlap and required tags define a player/client interest set.,interest={e: bounds(e) intersects query and tags_required subset tags(e)},Supports replication and streaming scope.,Implemented + tested
M288,Spatial and streaming,Culling reason codes,"Every rejected item reports frustum, support or compatibility cause.","reason in {outside_frustum,outside_support,incompatible,visible}",Makes editor and performance diagnostics actionable.,Implemented + tested
M289,GPU and rendering,Pattern-opcode dispatch,Versioned numeric opcodes select pattern/field evaluators in coherent shader batches.,evaluator=dispatch[opcode],GPU target keeps the 2.0 parameterized operator model.,Shader contract supplied
M290,GPU and rendering,Parameter-buffer reference,Instances store aligned offsets into a validated parameter buffer rather than inflating every hot record.,params=buffer[param_offset:param_offset+param_count],Supports compact instancing and schema hashing.,Shader contract supplied
M291,GPU and rendering,Derivative availability flags,"Bit flags declare analytic position, tangent, curvature, gradient or Hessian support.",flags & DERIVATIVE_*,Missing derivatives select a declared numerical path.,Shader contract supplied
M292,GPU and rendering,Render-graph resource contract,"Passes declare read/write resources, queue class and dependency edges.","render_graph=(passes,resources,barriers)",Specified bridge from query results to raster/compute presentation.,Specified; not executed
