id,domain,mechanism,definition,formula,integration,validation
M198,Pattern geometry,Superellipse (Lame curve),Parametric constant-exponent family |x/a|^n + |y/b|^n = 1 with explicit sign restoration.,x=a*sgn(cos t)|cos t|^(2/n); y=b*sgn(sin t)|sin t|^(2/n),"Pattern primitive; may define support, route boundary or swept profile.",Implemented + tested
M199,Pattern geometry,Gielis superformula,"Bounded radial pattern grammar that generalizes circles, polygons, stars and lobed forms.",r=(|cos(m t/4)/a|^n2 + |sin(m t/4)/b|^n3)^(-1/n1),Versioned parameter tuple; denominator floor prevents singular numerical blow-up.,Implemented + tested
M200,Pattern geometry,Rose curve,Polar harmonic petal pattern with integer or rational angular frequency.,r=a cos(k t),Periodic support/template; winding and event surfaces remain separately typed.,Implemented + tested
M201,Pattern geometry,Lissajous curve,Two-axis harmonic pattern with declared frequencies and phase offset.,x=A sin(a t+delta); y=B sin(b t),"Kinematic test path, phase compatibility probe or calibration trajectory.",Implemented + tested
M202,Pattern geometry,Epitrochoid,Point attached to a circle rolling outside another circle.,x=(R+r)cos t-d cos((R+r)t/r); y=(R+r)sin t-d sin((R+r)t/r),Closed periodic route when radius ratio is rational; otherwise bounded quasi-periodic sample.,Implemented + tested
M203,Pattern geometry,Hypotrochoid,Point attached to a circle rolling inside another circle.,x=(R-r)cos t+d cos((R-r)t/r); y=(R-r)sin t-d sin((R-r)t/r),Pattern route with cusp/self-intersection events classified by derivative and sheet.,Implemented + tested
M204,Pattern geometry,Cycloid,Trace of a point on a circle rolling along a line.,x=r(t-sin t); y=r(1-cos t),Exact benchmark trajectory for cusp and contact events.,Implemented + tested
M205,Pattern geometry,General trochoid,Rolling-circle trace with point offset d distinct from radius r.,x=r t-d sin t; y=r-d cos t,Prolate/curtate transition controlled by d/r and classified at d=r.,Implemented + tested
M206,Pattern geometry,Circle involute,Taut-string unwrapping curve with monotonic arc parameter.,x=r(cos t+t sin t); y=r(sin t-t cos t),Gear/contact profile and nonuniform curvature benchmark.,Implemented + tested
M207,Pattern geometry,Catenary,"Static hanging-chain profile retained as a bounded mechanical shape, not a generic parabola.",y=a cosh((x-x0)/a)+y0,Constraint shape or potential-energy equilibrium reference.,Implemented + tested
M208,Pattern geometry,Clothoid / Euler spiral,Curve whose curvature changes linearly with arc length.,kappa(s)=s/A^2; x=integral cos(u^2/2A^2)du; y=integral sin(u^2/2A^2)du,Curvature-continuous route connector and steering transition.,Implemented numerically + tested
M209,Pattern geometry,Fermat spiral,Square-root radial spiral with explicit branch sign.,"r=a sqrt(|t|), branch selects sign/phase",Two-arm address pattern and bounded sample schedule.,Implemented + tested
M210,Pattern geometry,Archimedean spiral,Linear radial growth under angular phase.,r=a+b t,Uniform shell-crossing benchmark and address sweep.,Implemented + tested
M211,Pattern geometry,Rational quadratic Bezier conic,Three control points with middle weight representing exact conic arcs under valid weights.,B(t)=[(1-t)^2P0+2w t(1-t)P1+t^2P2]/[(1-t)^2+2w t(1-t)+t^2],Conic-support primitive with denominator guard and schema-bound weight.,Implemented + tested
M212,Pattern geometry,Cubic Bezier segment,Four-point polynomial curve with endpoint tangent control.,B(t)=(1-t)^3P0+3(1-t)^2tP1+3(1-t)t^2P2+t^3P3,"Glyph morph, route segment and local sweep centerline.",Implemented + tested
M213,Pattern geometry,Open-uniform B-spline,Piecewise polynomial curve with local control and declared degree/knot vector.,"C(t)=sum_i N_i,p(t) P_i",Finite grammar output normalized to bounded control points and degree.,Implemented + tested
M214,Pattern geometry,NURBS curve,Rational B-spline with explicit positive weights and knot vector.,"C(t)=sum_i N_i,p w_i P_i / sum_i N_i,p w_i",Exact/approximate CAD-style route with denominator and weight validation.,Implemented + tested
